name,brand,picture,min_price,max_price,dong_url,jia_url,dong_score,jia_score,size,type,engine,gearbox
Giulia,阿尔法・罗密欧,,37.98,97.98,,https://www.autohome.com.cn/3825/#pvareaid=6834146,,4.54,中型车,三厢,2.0T 2.9T,手自一体
Stelvio,阿尔法・罗密欧,,45.68,96.98,,https://www.autohome.com.cn/4196/#pvareaid=6834146,,4.54,中型SUV,SUV,2.0T 2.9T,手自一体
奥迪A3,奥迪,,20.31,24.97,,https://www.autohome.com.cn/3170/#pvareaid=6834146,,4.54,紧凑型车,两厢 三厢,1.4T,干式双离合
奥迪A4L,奥迪,,30.58,39.68,,https://www.autohome.com.cn/692/#pvareaid=6834146,,4.47,中型车,三厢,2.0T,湿式双离合
奥迪A6L,奥迪,,41.98,65.38,,https://www.autohome.com.cn/18/#pvareaid=6834146,,4.55,中大型车,三厢,2.0T 3.0T,湿式双离合
奥迪A6L新能源,奥迪,,50.80,50.80,,https://www.autohome.com.cn/4526/#pvareaid=6834146,,4.54,中大型车,,2.0T,
奥迪Q2L,奥迪,,21.88,26.50,,https://www.autohome.com.cn/4871/#pvareaid=6834146,,4.53,小型SUV,SUV,1.4T,干式双离合
奥迪Q2L e-tron,奥迪,,22.68,23.73,,https://www.autohome.com.cn/5240/#pvareaid=6834146,,4.50,小型SUV,,136马力,
奥迪Q3,奥迪,,27.43,35.68,,https://www.autohome.com.cn/2951/#pvareaid=6834146,,4.44,紧凑型SUV,SUV,1.4T 2.0T,湿式双离合
奥迪Q3 Sportback,奥迪,,28.73,36.18,,https://www.autohome.com.cn/5933/#pvareaid=6834146,,4.63,紧凑型SUV,SUV跨界车,1.4T 2.0T,湿式双离合
奥迪Q5L,奥迪,,39.68,48.70,,https://www.autohome.com.cn/4851/#pvareaid=6834146,,4.59,中型SUV,SUV,2.0T,湿式双离合
奥迪Q5L Sportback,奥迪,,42.68,49.99,,https://www.autohome.com.cn/5912/#pvareaid=6834146,,4.58,中型SUV,SUV跨界车,2.0T,湿式双离合
奥迪e-tron,奥迪,,54.68,64.88,,https://www.autohome.com.cn/5765/#pvareaid=6834146,,4.60,中大型SUV,,313马力,
奥迪RS 4,奥迪,,81.28,81.28,,https://www.autohome.com.cn/2733/#pvareaid=6834146,,4.50,中型车,旅行版,2.9T,手自一体
奥迪RS 5,奥迪,,83.68,85.98,,https://www.autohome.com.cn/2735/#pvareaid=6834146,,4.63,中型车,掀背 硬顶跑车,2.9T,手自一体
奥迪RS 6,奥迪,,142.88,177.39,,https://www.autohome.com.cn/2737/#pvareaid=6834146,,,中大型车,旅行版,4.0T,手自一体
奥迪RS 7,奥迪,,144.88,172.23,,https://www.autohome.com.cn/2994/#pvareaid=6834146,,,中大型车,掀背,4.0T,手自一体
奥迪RS Q8,奥迪,,146.88,184.74,,https://www.autohome.com.cn/5508/#pvareaid=6834146,,4.38,中大型SUV,SUV,4.0T,手自一体
奥迪R8,奥迪,,228.88,275.34,,https://www.autohome.com.cn/511/#pvareaid=6834146,,,跑车,硬顶跑车,5.2L,湿式双离合
博速 G级,巴博斯,,1200.00,1200.00,,https://www.autohome.com.cn/2809/#pvareaid=6834146,,,中大型SUV,SUV,4.0T,手自一体
宝骏E100,宝骏,,4.98,5.48,,https://www.autohome.com.cn/3993/#pvareaid=6834146,,4.50,微型车,,39马力,
宝骏E200,宝骏,,5.48,6.48,,https://www.autohome.com.cn/4890/#pvareaid=6834146,,4.47,微型车,,39马力,
宝骏E300,宝骏,,6.48,8.48,,https://www.autohome.com.cn/5559/#pvareaid=6834146,,4.43,微型车,,54马力,
宝骏310,宝骏,,4.09,5.29,,https://www.autohome.com.cn/4077/#pvareaid=6834146,,4.08,小型车,两厢,1.2L,手动
